date,open,high,low,close,volume,target
2022-01-01,2.5749,2.5872,2.5028,2.5326,6833867.6,0.9858248440337993
2022-01-02,2.528,2.5844,2.4649,2.4967,5378588.0,0.9612688749148875
2022-01-03,2.4984,2.5124,2.359,2.4,9181204.0,1.00475
2022-01-04,2.4004,2.506,2.3541,2.4114,8992494.8,0.8893588786596998
2022-01-05,2.4133,2.4511,2.0111,2.1446,18492448.6,0.9946843234169542
2022-01-06,2.145,2.2908,2.0627,2.1332,15145008.4,0.9879523720232515
2022-01-07,2.1333,2.1885,2.0403,2.1075,12925216.9,0.9607591933570582
2022-01-08,2.1078,2.1432,1.8985,2.0248,13526317.8,1.0541781904385619
2022-01-09,2.0248,2.1755,1.984,2.1345,8962767.2,1.0109627547434996
2022-01-10,2.1295,2.1762,1.921,2.1579,15190192.8,1.0878168589832706
2022-01-11,2.1571,2.3873,2.1292,2.3474,16544475.1,1.003876629462384
2022-01-12,2.3482,2.4541,2.2929,2.3565,15961340.1,0.9768300445576066
2022-01-13,2.3574,2.436,2.23,2.3019,11187653.6,1.0149876189234979
2022-01-14,2.3019,2.3879,2.184,2.3364,9707520.9,0.9887005649717515
2022-01-15,2.3366,2.3987,2.2968,2.31,5314217.1,1.0345887445887445
2022-01-16,2.3099,2.4529,2.2827,2.3899,8320214.5,0.9125904849575297
2022-01-17,2.3902,2.4244,2.1656,2.181,10481807.8,0.9506648326455753
2022-01-18,2.1829,2.2187,2.0568,2.0734,9144679.9,0.9965274428474968
2022-01-19,2.0748,2.1317,2.0146,2.0662,7621585.3,0.9267737876294648
2022-01-20,2.0646,2.1927,1.8383,1.9149,14051079.0,0.8460494020575487
2022-01-21,1.9163,1.9398,1.6121,1.6201,20531974.1,0.9757422381334485
2022-01-22,1.6199,1.637,1.3973,1.5808,32819878.8,0.9467358299595141
2022-01-23,1.5821,1.6702,1.4757,1.4966,15589337.0,0.9617800347454231
2022-01-24,1.4941,1.5475,1.3077,1.4394,28956637.7,1.1128942614978463
2022-01-25,1.4388,1.6189,1.4107,1.6019,14920873.0,0.9531181721705474
2022-01-26,1.6015,1.8242,1.4968,1.5268,29057227.5,1.079447209850668
2022-01-27,1.526,1.6822,1.5106,1.6481,20302134.9,1.031248103877192
2022-01-28,1.6481,1.7158,1.5538,1.6996,18379382.4,0.9849376323840904
2022-01-29,1.6987,1.7406,1.6505,1.674,11157842.7,0.9233572281959379
2022-01-30,1.6735,1.6922,1.5239,1.5457,9608834.6,1.059714045416316
2022-01-31,1.5457,1.6729,1.5342,1.638,10459750.2,0.9971306471306471
2022-02-01,1.6372,1.68,1.6121,1.6333,10566310.1,0.9425090307965469
2022-02-02,1.6349,1.6644,1.515,1.5394,10920976.7,1.0211770819799921
2022-02-03,1.5394,1.5814,1.4455,1.572,8653256.8,1.1127862595419848
2022-02-04,1.5728,1.7555,1.55,1.7493,10196216.7,0.9867947178871548
2022-02-05,1.7495,1.7585,1.675,1.7262,4806819.1,1.0358591125014482
2022-02-06,1.723,1.8056,1.6682,1.7881,6643667.5,1.1397572842682175
2022-02-07,1.7894,2.0883,1.7641,2.038,18606855.8,0.9443572129538765
2022-02-08,2.038,2.0502,1.861,1.9246,11675032.4,1.0230177699262184
2022-02-09,1.9227,2.0615,1.909,1.9689,8953521.5,0.931129056833765
2022-02-10,1.9684,2.0437,1.812,1.8333,14715098.3,0.9268532155130094
2022-02-11,1.8331,1.8999,1.676,1.6992,11297360.5,0.9982933145009415
2022-02-12,1.7,1.7656,1.6426,1.6963,6439253.7,0.9538996639745329
2022-02-13,1.6943,1.7243,1.6019,1.6181,4581578.0,1.0657561337370989
2022-02-14,1.6174,1.7332,1.5963,1.7245,9634151.2,1.0514351986082922
2022-02-15,1.7224,1.8793,1.7213,1.8132,8639568.5,0.9952018530774323
2022-02-16,1.8119,1.8787,1.7504,1.8045,9116104.0,0.9331670822942644
2022-02-17,1.8045,1.8345,1.6461,1.6839,8557066.2,0.9647247461250669
2022-02-18,1.6826,1.714,1.5824,1.6245,6159264.3,0.9569713758079409
2022-02-19,1.6247,1.6436,1.554,1.5546,4590477.1,1.0221922037823234
2022-02-20,1.5561,1.5979,1.4945,1.5891,8593382.5,0.8661506513120635
2022-02-21,1.589,1.6169,1.3484,1.3764,21472029.0,1.0882011043301365
2022-02-22,1.3771,1.5016,1.3697,1.4978,13756205.3,0.8510482040325811
2022-02-23,1.4992,1.5969,1.2521,1.2747,21729850.7,1.1174393975052954
2022-02-24,1.2758,1.5141,1.2459,1.4244,25068090.7,1.072170738556585
2022-02-25,1.4274,1.5965,1.401,1.5272,12019633.7,0.9681115767417496
2022-02-26,1.5296,1.5649,1.451,1.4785,6279062.8,0.976868447751099
2022-02-27,1.4812,1.5471,1.4231,1.4443,7312402.9,1.1002561794641004
2022-02-28,1.4462,1.6488,1.4218,1.5891,13144911.3,1.0424139450003147
2022-03-01,1.5883,1.6649,1.555,1.6565,12018447.4,0.9719891337156655
2022-03-02,1.6601,1.699,1.5945,1.6101,9596175.4,0.9527979628594497
2022-03-03,1.61,1.6445,1.5105,1.5341,6044316.8,0.9655172413793104
2022-03-04,1.5353,1.5656,1.4476,1.4812,6194980.8,1.0059411288144746
2022-03-05,1.4825,1.5192,1.4686,1.49,2643116.9,0.9491946308724831
2022-03-06,1.4889,1.5026,1.3871,1.4143,4573010.7,1.0214947323764407
2022-03-07,1.4152,1.4965,1.3699,1.4447,6745313.5,1.0456842250986362
2022-03-08,1.442,1.5309,1.4148,1.5107,7195160.9,0.9400939961607202
2022-03-09,1.51,1.5457,1.4094,1.4202,5595700.2,1.0088719898605831
2022-03-10,1.4202,1.4614,1.4017,1.4328,5301152.7,0.9956030150753769
2022-03-11,1.4312,1.4739,1.4018,1.4265,3947847.8,0.9909568874868558
2022-03-12,1.4272,1.4346,1.392,1.4136,2034716.2,0.9669637804187889
2022-03-13,1.412,1.4129,1.3439,1.3669,2598594.9,0.9891725802911698
2022-03-14,1.3676,1.394,1.3302,1.3521,3490067.3,1.0076177797500185
2022-03-15,1.352,1.4251,1.3307,1.3624,3991129.1,1.0729594832648268
2022-03-16,1.3619,1.4748,1.3558,1.4618,4794821.1,0.9762621425639623
2022-03-17,1.4621,1.499,1.4203,1.4271,2888380.9,1.069231308247495
2022-03-18,1.4304,1.5336,1.4183,1.5259,4868691.0,0.9889245691067565
2022-03-19,1.5242,1.542,1.4975,1.509,2033790.3,0.9659377070907886
2022-03-20,1.5105,1.5234,1.4431,1.4576,1995075.4,1.035194840834248
2022-03-21,1.4577,1.5171,1.455,1.5089,2382140.7,0.9948306713499901
2022-03-22,1.511,1.5344,1.4919,1.5011,2206137.1,1.0431017254013724
2022-03-23,1.5026,1.5765,1.4952,1.5658,2974271.7,1.0445139864605952
2022-03-24,1.5658,1.6397,1.5597,1.6355,4155263.2,0.9719351880158973
2022-03-25,1.6344,1.6635,1.5642,1.5896,4397782.3,1.0184952189229997
2022-03-26,1.5887,1.6282,1.5816,1.619,2157785.6,1.050710315009265
2022-03-27,1.6178,1.702,1.6016,1.7011,3881312.3,0.9948856622185643
2022-03-28,1.7005,1.7461,1.6522,1.6924,4523437.0,0.9777830300165447
2022-03-29,1.6919,1.737,1.6286,1.6548,3222450.2,1.029489968576263
2022-03-30,1.6525,1.7259,1.6509,1.7036,3443283.5,0.9390702042733037
2022-03-31,1.7052,1.7497,1.5594,1.5998,5947034.7,1.0731966495811975
2022-04-01,1.5999,1.7264,1.5976,1.7169,2863779.7,0.9755955501194012
2022-04-02,1.717,1.7291,1.633,1.675,2890755.9,0.9945074626865671
2022-04-03,1.6749,1.7135,1.6535,1.6658,1321512.5,0.9941769720254532
2022-04-04,1.6655,1.689,1.6071,1.6561,2154414.7,0.9536259887687941
2022-04-05,1.6563,1.676,1.543,1.5793,2644809.5,0.9327550180459698
2022-04-06,1.5806,1.5914,1.4377,1.4731,3889342.3,1.0341456791799606
2022-04-07,1.4723,1.5251,1.4551,1.5234,1562750.3,0.9455166075882893
2022-04-08,1.524,1.5268,1.4231,1.4404,2719691.5,1.0163843376839767
2022-04-09,1.4413,1.4735,1.4364,1.464,1083184.9,0.9747950819672132
2022-04-10,1.4643,1.4897,1.4038,1.4271,1571640.2,0.9500385396958867
2022-04-11,1.4282,1.4289,1.313,1.3558,3650978.6,1.0472046024487387
2022-04-12,1.3565,1.4749,1.3539,1.4198,4452489.6,1.0058458937878574
2022-04-13,1.4201,1.4439,1.3662,1.4281,3559245.2,0.9698200406134024
2022-04-14,1.4295,1.4318,1.3523,1.385,2493170.1,1.0059927797833934
2022-04-15,1.3855,1.3984,1.3669,1.3933,1183254.5,0.9893059642575182
2022-04-16,1.3932,1.403,1.3652,1.3784,1001599.7,0.942034242600116
2022-04-17,1.3778,1.3908,1.2985,1.2985,1679174.6,1.0839430111667308
2022-04-18,1.3,1.4364,1.2933,1.4075,4452979.4,1.0210301953818828
2022-04-19,1.4077,1.451,1.3936,1.4371,2931425.0,0.9990954004592582
2022-04-20,1.4383,1.4661,1.3968,1.4358,2814540.1,0.984886474439337
2022-04-21,1.435,1.4678,1.36,1.4141,3523117.4,0.9632274945194825
2022-04-22,1.4142,1.506,1.3437,1.3621,7174566.4,1.000587328389986
2022-04-23,1.3615,1.4047,1.3542,1.3629,1935962.6,0.9702839533348008
2022-04-24,1.3629,1.367,1.3,1.3224,2886802.2,1.0202661826981245
2022-04-25,1.323,1.3618,1.2622,1.3492,3844674.3,0.936480877557071
2022-04-26,1.3504,1.3538,1.2238,1.2635,4037932.6,0.9948555599525127
2022-04-27,1.2643,1.292,1.2422,1.257,2583316.8,0.975497215592681
2022-04-28,1.2576,1.2795,1.2124,1.2262,2784779.4,0.9394878486380688
2022-04-29,1.227,1.2322,1.1265,1.152,3991286.3,0.923263888888889
2022-04-30,1.1528,1.1652,1.0116,1.0636,5482368.3,1.04550582925912
2022-05-01,1.0645,1.1235,1.0607,1.112,5410963.7,0.9836330935251799
2022-05-02,1.1128,1.121,1.0362,1.0938,6169799.0,0.9875662826842201
2022-05-03,1.0942,1.116,1.0539,1.0802,3343962.6,1.0902610627661544
2022-05-04,1.0799,1.1866,1.0734,1.1777,5808962.8,0.9079561857858537
2022-05-05,1.1774,1.182,1.03,1.0693,6241336.3,0.9509959786776395
2022-05-06,1.0689,1.0718,1.0115,1.0169,5461385.6,0.9690235028026356
2022-05-07,1.0178,1.0665,0.978,0.9854,5717699.4,0.9689466206616602
2022-05-08,0.9857,1.0113,0.9397,0.9548,3830551.2,0.9542312526183494
2022-05-09,0.9548,0.9599,0.7876,0.9111,17305597.7,0.9519262430029634
2022-05-10,0.9107,0.9888,0.8532,0.8673,23330533.2,0.6780814020523463
2022-05-11,0.8677,0.9372,0.5747,0.5881,31424165.8,1.1827920421696991
2022-05-12,0.5879,0.7006,0.4786,0.6956,27561979.9,0.9613283496262219
2022-05-13,0.696,0.7521,0.6594,0.6687,14534475.9,0.989980559294153
2022-05-14,0.668,0.6943,0.6149,0.662,9965969.4,1.060725075528701
2022-05-15,0.6621,0.7435,0.6577,0.7022,10280207.0,1.0095414411848476
2022-05-16,0.702,0.7115,0.658,0.7089,11188940.5,0.9810974749612076
2022-05-17,0.7075,0.737,0.6797,0.6955,6949373.0,0.910136592379583
2022-05-18,0.6952,0.7087,0.6114,0.633,7924229.1,1.0315955766192733
2022-05-19,0.6323,0.6723,0.6088,0.653,5866273.7,0.9754977029096478
2022-05-20,0.6529,0.6785,0.6164,0.637,5729624.3,1.0051805337519624
2022-05-21,0.637,0.6599,0.6299,0.6403,3329307.3,1.0491956895205372
2022-05-22,0.6402,0.6852,0.6401,0.6718,4300895.3,0.9615957130098245
2022-05-23,0.6719,0.6999,0.6349,0.646,7508929.7,1.0154798761609907
2022-05-24,0.646,0.6735,0.6102,0.656,7938393.4,0.9879573170731707
2022-05-25,0.656,0.6606,0.6271,0.6481,5964324.4,0.8946150285449775
2022-05-26,0.6494,0.6514,0.5704,0.5798,15089285.0,1.0062090375991721
2022-05-27,0.58,0.6102,0.564,0.5834,10319085.7,0.9861158724717175
2022-05-28,0.5835,0.5959,0.574,0.5753,3060215.0,1.0841300191204588
2022-05-29,0.5752,0.6285,0.574,0.6237,4371157.8,1.0606060606060606
2022-05-30,0.6237,0.6735,0.6189,0.6615,6533213.5,0.9780801209372638
2022-05-31,0.6621,0.683,0.6381,0.647,10433629.3,0.9221020092735703
2022-06-01,0.6478,0.6552,0.5856,0.5966,7257129.6,1.022963459604425
2022-06-02,0.5974,0.621,0.5913,0.6103,5341119.7,0.9705063083729315
2022-06-03,0.6098,0.614,0.5757,0.5923,4226767.3,0.993246665541111
2022-06-04,0.5922,0.5997,0.5844,0.5883,1181838.0,1.0589835118137003
2022-06-05,0.5895,0.6276,0.5838,0.623,2752848.1,0.9587479935794544
2022-06-06,0.6225,0.6553,0.5835,0.5973,9312946.1,1.0247781684245771
2022-06-07,0.5956,0.6321,0.5854,0.6121,5333322.6,1.004574415945107
2022-06-08,0.6121,0.621,0.601,0.6149,5011730.3,1.0546430313872173
