date,open,high,low,close,volume,target
2022-01-01,0.1714,0.1736,0.1701,0.1716,13914437.0,1.0011655011655012
2022-01-02,0.1716,0.1763,0.1707,0.1718,12905465.0,0.9877764842840511
2022-01-03,0.172,0.1732,0.1674,0.1697,18064316.0,1.0
2022-01-04,0.17,0.1724,0.1666,0.1697,18399470.0,0.9198585739540365
2022-01-05,0.1695,0.1708,0.1469,0.1561,64562232.0,0.9871877001921845
2022-01-06,0.1561,0.1621,0.1491,0.1541,31164243.0,1.0175210902011682
2022-01-07,0.154,0.158,0.1492,0.1568,44221350.0,0.9668367346938777
2022-01-08,0.1569,0.1579,0.1453,0.1516,31468004.0,1.0
2022-01-09,0.1518,0.1538,0.1487,0.1516,16257895.0,0.9518469656992085
2022-01-10,0.1515,0.1521,0.1371,0.1443,56982869.0,1.060984060984061
2022-01-11,0.1442,0.167,0.1429,0.1531,97942706.0,1.1436969301110385
2022-01-12,0.153,0.1755,0.1513,0.1751,111686213.0,1.0850942318675043
2022-01-13,0.1752,0.1956,0.1615,0.19,241061692.0,0.998421052631579
2022-01-14,0.19,0.22,0.1805,0.1897,317086531.0,0.9515023721665787
2022-01-15,0.1898,0.1948,0.1787,0.1805,94152293.0,0.9468144044321329
2022-01-16,0.1804,0.1844,0.1687,0.1709,63947213.0,0.986541837331773
2022-01-17,0.171,0.1747,0.1656,0.1686,45003569.0,0.9857651245551601
2022-01-18,0.169,0.1723,0.1617,0.1662,47618214.0,0.9837545126353792
2022-01-19,0.1661,0.1678,0.1579,0.1635,41268020.0,0.9327217125382262
2022-01-20,0.164,0.1693,0.1486,0.1525,49537924.0,0.8891803278688525
2022-01-21,0.1524,0.1548,0.1343,0.1356,72899504.0,1.0235988200589972
2022-01-22,0.1356,0.142,0.1201,0.1388,118177093.0,0.9863112391930835
2022-01-23,0.1392,0.1446,0.1347,0.1369,58891855.0,0.9788166544923302
2022-01-24,0.137,0.1411,0.1258,0.134,85811195.0,1.0880597014925373
2022-01-25,0.1339,0.1507,0.1326,0.1458,77691743.0,0.9595336076817558
2022-01-26,0.1456,0.1534,0.1384,0.1399,80097245.0,1.01072194424589
2022-01-27,0.1401,0.1461,0.1362,0.1414,28567943.0,1.0042432814710043
2022-01-28,0.1412,0.1428,0.1378,0.142,19193818.0,1.0049295774647888
2022-01-29,0.1421,0.1443,0.1404,0.1427,21396363.0,0.9586545199719693
2022-01-30,0.1427,0.1437,0.1364,0.1368,20753948.0,1.04093567251462
2022-01-31,0.137,0.144,0.1364,0.1424,31247680.0,1.002808988764045
2022-02-01,0.1423,0.1444,0.1413,0.1428,26959079.0,0.9719887955182073
2022-02-02,0.1428,0.1465,0.1358,0.1388,36992639.0,1.0028818443804033
2022-02-03,0.1385,0.1396,0.1348,0.1392,14023297.0,1.076867816091954
2022-02-04,0.1393,0.1505,0.1378,0.1499,29248496.0,0.9866577718478986
2022-02-05,0.1501,0.1508,0.1449,0.1479,16788385.0,1.068289384719405
2022-02-06,0.1479,0.1611,0.1447,0.158,61987526.0,1.0632911392405064
2022-02-07,0.158,0.1732,0.1549,0.168,65446660.0,0.9303571428571428
2022-02-08,0.1679,0.17,0.153,0.1563,31852313.0,1.0089571337172105
2022-02-09,0.1562,0.1625,0.1552,0.1577,24802692.0,0.9568801521876982
2022-02-10,0.1578,0.1607,0.1489,0.1509,31939046.0,0.9595758780649437
2022-02-11,0.1508,0.1544,0.1421,0.1448,22290982.0,0.9993093922651932
2022-02-12,0.1446,0.1475,0.1405,0.1447,17076178.0,0.9965445749827229
2022-02-13,0.1447,0.1579,0.1436,0.1442,107098147.0,1.0263522884882108
2022-02-14,0.1441,0.1495,0.1429,0.148,21155772.0,1.010810810810811
2022-02-15,0.148,0.1525,0.1479,0.1496,14714526.0,0.9839572192513368
2022-02-16,0.1495,0.1507,0.1463,0.1472,13105524.0,0.9592391304347826
2022-02-17,0.1471,0.1499,0.1371,0.1412,24456449.0,1.001416430594901
2022-02-18,0.1412,0.1429,0.1362,0.1414,17258604.0,0.9717114568599717
2022-02-19,0.1414,0.1466,0.1371,0.1374,21531604.0,1.0167394468704511
2022-02-20,0.1375,0.1405,0.1352,0.1397,19346014.0,0.9012168933428777
2022-02-21,0.1397,0.1419,0.1239,0.1259,46800283.0,1.0452740270055598
2022-02-22,0.1257,0.132,0.1257,0.1316,15428894.0,0.8495440729483282
2022-02-23,0.1317,0.1356,0.1066,0.1118,50428473.0,1.0912343470483006
2022-02-24,0.1119,0.1268,0.1089,0.122,60067489.0,1.0418032786885245
2022-02-25,0.122,0.1306,0.1206,0.1271,25073464.0,0.9826907946498821
2022-02-26,0.1273,0.1292,0.1238,0.1249,14522613.0,0.9855884707766214
2022-02-27,0.1251,0.1285,0.1211,0.1231,15460310.0,1.0739236393176281
2022-02-28,0.123,0.1349,0.1216,0.1322,20671802.0,1.0219364599092284
2022-03-01,0.1323,0.1392,0.1298,0.1351,28385968.0,0.9800148038490006
2022-03-02,0.1352,0.1373,0.1305,0.1324,16270636.0,0.9486404833836858
2022-03-03,0.1325,0.1339,0.1249,0.1256,17481978.0,0.9737261146496816
2022-03-04,0.1256,0.1286,0.1202,0.1223,13376099.0,1.0188062142273098
2022-03-05,0.1227,0.1256,0.1223,0.1246,7313788.0,0.9590690208667736
2022-03-06,0.1245,0.1251,0.1182,0.1195,12058672.0,0.989958158995816
2022-03-07,0.1194,0.1226,0.1133,0.1183,17708420.0,1.0228233305156382
2022-03-08,0.1181,0.1223,0.1153,0.121,14230303.0,0.959504132231405
2022-03-09,0.1211,0.1244,0.1154,0.1161,15701962.0,1.0008613264427217
2022-03-10,0.116,0.1185,0.1143,0.1162,11842056.0,1.0060240963855422
2022-03-11,0.1163,0.1186,0.1138,0.1169,9431599.0,0.9914456800684346
2022-03-12,0.1169,0.1171,0.1141,0.1159,8072194.0,0.994823123382226
2022-03-13,0.1158,0.122,0.11,0.1153,28325265.0,0.9757155247181266
2022-03-14,0.1157,0.1165,0.1114,0.1125,21718187.0,1.0017777777777777
2022-03-15,0.1125,0.1161,0.1102,0.1127,15252043.0,1.0523513753327418
2022-03-16,0.1126,0.1194,0.1124,0.1186,17280616.0,0.9721753794266442
2022-03-17,0.1189,0.1189,0.1147,0.1153,11339107.0,1.033824804856895
2022-03-18,0.1153,0.1206,0.1143,0.1192,13367041.0,1.0251677852348993
2022-03-19,0.1192,0.1251,0.1189,0.1222,23076549.0,0.9811783960720131
2022-03-20,0.1225,0.1231,0.1176,0.1199,10964161.0,1.02418682235196
