date,open,high,low,close,volume,target
2022-01-01,3737.79,3784.2,3674.37,3745.73,5567.40747,1.0176921454562928
2022-01-02,3744.14,3857.43,3731.18,3812.0,5407.46757,0.9815398740818468
2022-01-03,3813.53,3853.08,3681.79,3741.63,7290.35897,1.0167440393625238
2022-01-04,3741.94,3893.47,3735.94,3804.28,8872.22178,0.9090077491667279
2022-01-05,3804.28,3848.0,3399.0,3458.12,18024.77702,0.9354938521508798
2022-01-06,3458.19,3466.39,3140.0,3235.05,16496.64938,0.9938115330520394
2022-01-07,3234.58,3282.97,3063.74,3215.03,15617.27376,0.9712724298062537
2022-01-08,3215.98,3247.75,2999.06,3122.67,14624.6014,1.0166460112659998
2022-01-09,3123.93,3212.56,3074.67,3174.65,8315.08289,0.9802749909438836
2022-01-10,3173.26,3174.67,2928.88,3112.03,16544.55038,1.0380426923904975
2022-01-11,3111.79,3265.82,3076.36,3230.42,9563.39222,1.0336953089691123
2022-01-12,3231.65,3412.73,3207.02,3339.27,10983.24122,0.9904679765337934
2022-01-13,3338.72,3412.43,3223.45,3307.44,9747.95941,1.0008254117988535
2022-01-14,3306.77,3343.72,3188.42,3310.17,8202.24429,0.9996737327690118
2022-01-15,3310.5,3373.41,3263.0,3309.09,5191.28084,0.9875585130655256
2022-01-16,3308.39,3393.65,3237.86,3267.92,6403.94889,0.9717220739797793
2022-01-17,3267.07,3300.6,3139.32,3175.51,8401.12428,0.9784129163504445
2022-01-18,3176.09,3207.33,3083.76,3106.96,10112.34829,1.007212838272781
2022-01-19,3107.36,3162.21,3046.64,3129.37,9903.26984,0.9135417032821302
2022-01-20,3128.46,3273.33,2809.9,2858.81,19048.4589,0.8733633924604994
2022-01-21,2859.89,2899.95,2461.71,2496.78,33715.60089,0.9892141077708086
2022-01-22,2496.86,2533.77,2300.0,2469.85,41902.60887,0.9884203494139321
2022-01-23,2467.47,2551.11,2371.46,2441.25,19081.4737,0.9815094726062469
2022-01-24,2440.84,2483.01,2158.99,2396.11,44133.27028,1.0339091277111652
2022-01-25,2393.82,2508.63,2350.59,2477.36,18342.28277,0.9656892821390513
2022-01-26,2477.67,2723.21,2355.09,2392.36,31674.08228,1.0235248875587286
2022-01-27,2389.56,2521.9,2313.48,2448.64,19516.80224,1.0353910742289598
2022-01-28,2449.3,2588.31,2358.98,2535.3,17970.52479,1.0275667573857137
2022-01-29,2535.04,2637.69,2526.24,2605.19,12193.57075,0.9630775490463267
2022-01-30,2606.72,2642.45,2478.34,2509.0,11356.11781,1.0892028696691909
2022-01-31,2509.82,2767.89,2503.76,2732.81,17030.0498,1.0118815431735102
2022-02-01,2732.86,2815.68,2719.04,2765.28,15489.7242,0.9607960134235953
2022-02-02,2765.0,2812.52,2614.58,2656.87,14367.57826,1.042851174502328
2022-02-03,2656.9,2785.0,2577.51,2770.72,10774.02063,1.091600739158053
2022-02-04,2772.59,3040.0,2764.28,3024.52,17269.26401,0.9989320619470197
2022-02-05,3026.11,3062.56,2962.54,3021.29,7487.35614,1.0244266521916137
2022-02-06,3020.85,3112.85,2952.21,3095.09,9404.25843,1.030335143727646
2022-02-07,3096.32,3200.0,3051.72,3188.98,11257.0155,0.969861836700136
2022-02-08,3188.01,3233.4,3028.01,3092.87,11149.60805,1.0269814120865088
2022-02-09,3091.53,3273.42,3071.42,3176.32,9961.39184,0.9614050221640137
2022-02-10,3178.14,3284.66,3002.05,3053.73,15798.69299,0.9590631784735388
2022-02-11,3050.0,3144.68,2878.51,2928.72,11861.50731,0.9961826326859516
2022-02-12,2927.62,2986.98,2859.51,2917.54,5859.28576,0.9764596200908986
2022-02-13,2916.48,2955.18,2832.16,2848.86,5498.21671,1.0585953679717501
2022-02-14,2849.45,3040.0,2843.46,3015.79,8700.72005,1.0382951067547808
2022-02-15,3014.73,3198.39,3013.62,3131.28,8951.54781,0.9805989882731663
2022-02-16,3130.65,3189.23,3046.0,3070.53,8067.75879,0.9444818972620361
2022-02-17,3070.59,3138.0,2854.19,2900.06,11255.57068,0.9692316710688744
2022-02-18,2901.32,2946.18,2753.58,2810.83,9033.16194,0.9460337338081634
2022-02-19,2810.95,2827.57,2656.4,2659.14,6370.54372,1.030227818016351
2022-02-20,2657.76,2758.33,2575.79,2739.52,9457.95664,0.9143937624109333
2022-02-21,2739.38,2760.04,2500.0,2505.0,22572.05305,1.06125748502994
2022-02-22,2503.34,2667.22,2502.27,2658.45,12884.47425,0.8784780605239896
2022-02-23,2659.88,2754.59,2300.0,2335.39,18140.89823,1.115732275979601
2022-02-24,2336.02,2736.33,2302.0,2605.67,22021.29956,1.0663514566311159
2022-02-25,2607.21,2878.48,2571.36,2778.56,14825.41607,0.9751382010825752
2022-02-26,2776.64,2856.04,2679.67,2709.48,7715.02141,0.9634763866129294
2022-02-27,2710.4,2837.38,2556.94,2610.52,11728.1315,1.1165285077302605
2022-02-28,2611.97,2977.87,2570.0,2914.72,15698.17762,1.0299445572816601
2022-03-01,2913.84,3044.49,2855.0,3002.0,14861.44283,0.9662291805463025
2022-03-02,3001.67,3036.0,2888.0,2900.62,12421.34175,0.9396542808089305
2022-03-03,2898.79,2935.37,2690.0,2725.58,9797.81117,0.9632445204323484
2022-03-04,2725.57,2762.25,2575.0,2625.4,9894.0333,1.0098499276300754
2022-03-05,2626.74,2686.78,2616.26,2651.26,4328.69972,0.954455617329119
2022-03-06,2650.18,2661.6,2508.15,2530.51,6329.544,0.9976882130479625
2022-03-07,2529.61,2648.89,2444.68,2524.66,11032.30123,1.0753408379742222
2022-03-08,2524.92,2731.4,2496.66,2714.87,11659.47708,0.9547271140054588
2022-03-09,2715.99,2773.54,2574.99,2591.96,10950.30838,0.990489822373802
2022-03-10,2593.34,2648.57,2523.01,2567.31,8070.72609,1.0096287553898828
2022-03-11,2565.43,2678.78,2527.34,2592.03,6879.78782,0.9970987990108139
2022-03-12,2591.22,2614.37,2559.42,2584.51,2698.22767,0.9942967912679772
2022-03-13,2584.75,2605.1,2493.15,2569.77,4416.27209,0.9911743074282913
2022-03-14,2571.81,2609.6,2514.51,2547.09,5929.09542,1.0288721639203955
2022-03-15,2546.4,2733.91,2508.28,2620.63,8999.26716,1.0589285782426363
2022-03-16,2620.44,2789.37,2612.75,2775.06,9970.18543,1.0020395955402766
2022-03-17,2774.01,2838.0,2748.37,2780.72,6355.22439,1.0601714663828075
2022-03-18,2781.86,2988.0,2781.11,2948.04,8610.93342,0.9909906242791822
2022-03-19,2946.71,2987.11,2890.8,2921.48,4290.46719,0.9742698906033928
2022-03-20,2921.08,2936.55,2818.43,2846.31,4638.66362,1.063728125186645
